Name,Notes,Parent,QiCode,Sort Key,Source,Status,Tags,Type,Version
workflows_sops_routines,,Title 05 — Operations & Workflows (Title%2005%20%E2%80%94%20Operations%20&%20Workflows%205ce5369c643d485caca82fa54f39498e.csv),§ 05.01.001,05.01.001,,draft,,,
workflows_sops_routines,,Title 05 — Operations & Workflows (Title%2005%20%E2%80%94%20Operations%20&%20Workflows%205ce5369c643d485caca82fa54f39498e.csv),§ 05.01.002,05.01.002,,draft,,,
workflows_sops_routines,,Title 05 — Operations & Workflows (Title%2005%20%E2%80%94%20Operations%20&%20Workflows%205ce5369c643d485caca82fa54f39498e.csv),§ 05.01.003,05.01.003,,draft,,,
workflows_sops_routines,,Title 05 — Operations & Workflows (Title%2005%20%E2%80%94%20Operations%20&%20Workflows%205ce5369c643d485caca82fa54f39498e.csv),§ 05.01.004,05.01.004,,draft,,,
workflows_sops_routines,,Title 05 — Operations & Workflows (Title%2005%20%E2%80%94%20Operations%20&%20Workflows%205ce5369c643d485caca82fa54f39498e.csv),§ 05.01.005,05.01.005,,draft,,,
maintenance_incidents_deployment,,Title 05 — Operations & Workflows (Title%2005%20%E2%80%94%20Operations%20&%20Workflows%205ce5369c643d485caca82fa54f39498e.csv),§ 05.02.001,05.02.001,,draft,,,
maintenance_incidents_deployment,,Title 05 — Operations & Workflows (Title%2005%20%E2%80%94%20Operations%20&%20Workflows%205ce5369c643d485caca82fa54f39498e.csv),§ 05.02.002,05.02.002,,draft,,,
maintenance_incidents_deployment,,Title 05 — Operations & Workflows (Title%2005%20%E2%80%94%20Operations%20&%20Workflows%205ce5369c643d485caca82fa54f39498e.csv),§ 05.02.003,05.02.003,,draft,,,
maintenance_incidents_deployment,,Title 05 — Operations & Workflows (Title%2005%20%E2%80%94%20Operations%20&%20Workflows%205ce5369c643d485caca82fa54f39498e.csv),§ 05.02.004,05.02.004,,draft,,,
maintenance_incidents_deployment,,Title 05 — Operations & Workflows (Title%2005%20%E2%80%94%20Operations%20&%20Workflows%205ce5369c643d485caca82fa54f39498e.csv),§ 05.02.005,05.02.005,,draft,,,
planner_activities_routines,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.01.001,06.01.001,,draft,,,
planner_activities_routines,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.01.002,06.01.002,,draft,,,
planner_activities_routines,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.01.003,06.01.003,,draft,,,
planner_activities_routines,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.01.004,06.01.004,,draft,,,
planner_activities_routines,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.01.005,06.01.005,,draft,,,
planner_activities_routines,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.01.006,06.01.006,,draft,,,
erm_people_vendors_government,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.02.001,06.02.001,,draft,,,
erm_people_vendors_government,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.02.002,06.02.002,,draft,,,
erm_people_vendors_government,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.02.003,06.02.003,,draft,,,
erm_people_vendors_government,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.02.004,06.02.004,,draft,,,
erm_people_vendors_government,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.02.005,06.02.005,,draft,,,
workbench_projects_creative,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.03.001,06.03.001,,draft,,,
workbench_projects_creative,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.03.002,06.03.002,,draft,,,
workbench_projects_creative,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.03.003,06.03.003,,draft,,,
workbench_projects_creative,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.03.005,06.03.005,,draft,,,
workbench_projects_creative,,Title 06 — QiLife (Title%2006%20%E2%80%94%20QiLife%20e2930cc038984d7bbb09d17ba0924ed0.csv),§ 06.03.004,06.03.004,,draft,,,
accounts_permissions_devices,,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.01.001,07.01.001,,draft,,,
accounts_permissions_devices,,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.01.002,07.01.002,,draft,,,
accounts_permissions_devices,,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.01.003,07.01.003,,draft,,,
accounts_permissions_devices,,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.01.004,07.01.004,,draft,,,
accounts_permissions_devices,,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.01.005,07.01.005,,draft,,,
secrets_incidents_recovery,,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.02.001,07.02.001,,draft,,,
secrets_incidents_recovery,,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.02.002,07.02.002,,draft,,,
secrets_incidents_recovery,,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.02.003,07.02.003,,draft,,,
secrets_incidents_recovery,,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.02.004,07.02.004,,draft,,,
secrets_incidents_recovery,,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.02.005,07.02.005,,draft,,,
finance_inventory_reimbursements,,Title 08 — Finance & Assets (Title%2008%20%E2%80%94%20Finance%20&%20Assets%2079247668d5b44734877db418085a5878.csv),§ 08.01.001,08.01.001,,draft,,,
finance_inventory_reimbursements,,Title 08 — Finance & Assets (Title%2008%20%E2%80%94%20Finance%20&%20Assets%2079247668d5b44734877db418085a5878.csv),§ 08.01.002,08.01.002,,draft,,,
finance_inventory_reimbursements,,Title 08 — Finance & Assets (Title%2008%20%E2%80%94%20Finance%20&%20Assets%2079247668d5b44734877db418085a5878.csv),§ 08.01.003,08.01.003,,draft,,,
finance_inventory_reimbursements,,Title 08 — Finance & Assets (Title%2008%20%E2%80%94%20Finance%20&%20Assets%2079247668d5b44734877db418085a5878.csv),§ 08.01.004,08.01.004,,draft,,,
finance_inventory_reimbursements,,Title 08 — Finance & Assets (Title%2008%20%E2%80%94%20Finance%20&%20Assets%2079247668d5b44734877db418085a5878.csv),§ 08.01.005,08.01.005,,draft,,,
assets_debts_reports,,Title 08 — Finance & Assets (Title%2008%20%E2%80%94%20Finance%20&%20Assets%2079247668d5b44734877db418085a5878.csv),§ 08.02.001,08.02.001,,draft,,,
assets_debts_reports,,Title 08 — Finance & Assets (Title%2008%20%E2%80%94%20Finance%20&%20Assets%2079247668d5b44734877db418085a5878.csv),§ 08.02.002,08.02.002,,draft,,,
assets_debts_reports,,Title 08 — Finance & Assets (Title%2008%20%E2%80%94%20Finance%20&%20Assets%2079247668d5b44734877db418085a5878.csv),§ 08.02.003,08.02.003,,draft,,,
assets_debts_reports,,Title 08 — Finance & Assets (Title%2008%20%E2%80%94%20Finance%20&%20Assets%2079247668d5b44734877db418085a5878.csv),§ 08.02.004,08.02.004,,draft,,,
assets_debts_reports,,Title 08 — Finance & Assets (Title%2008%20%E2%80%94%20Finance%20&%20Assets%2079247668d5b44734877db418085a5878.csv),§ 08.02.005,08.02.005,,draft,,,
contracts_notices_housing,,Title 09 — Legal Matters (Title%2009%20%E2%80%94%20Legal%20Matters%2008f297a5e9aa481da5b863062d2b79a5.csv),§ 09.01.001,09.01.001,,draft,,,
contracts_notices_housing,,Title 09 — Legal Matters (Title%2009%20%E2%80%94%20Legal%20Matters%2008f297a5e9aa481da5b863062d2b79a5.csv),§ 09.01.002,09.01.002,,draft,,,
contracts_notices_housing,,Title 09 — Legal Matters (Title%2009%20%E2%80%94%20Legal%20Matters%2008f297a5e9aa481da5b863062d2b79a5.csv),§ 09.01.003,09.01.003,,draft,,,
contracts_notices_housing,,Title 09 — Legal Matters (Title%2009%20%E2%80%94%20Legal%20Matters%2008f297a5e9aa481da5b863062d2b79a5.csv),§ 09.01.004,09.01.004,,draft,,,
contracts_notices_housing,,Title 09 — Legal Matters (Title%2009%20%E2%80%94%20Legal%20Matters%2008f297a5e9aa481da5b863062d2b79a5.csv),§ 09.01.005,09.01.005,,draft,,,
disputes_claims_client_matters,,Title 09 — Legal Matters (Title%2009%20%E2%80%94%20Legal%20Matters%2008f297a5e9aa481da5b863062d2b79a5.csv),§ 09.02.001,09.02.001,,draft,,,
disputes_claims_client_matters,,Title 09 — Legal Matters (Title%2009%20%E2%80%94%20Legal%20Matters%2008f297a5e9aa481da5b863062d2b79a5.csv),§ 09.02.002,09.02.002,,draft,,,
disputes_claims_client_matters,,Title 09 — Legal Matters (Title%2009%20%E2%80%94%20Legal%20Matters%2008f297a5e9aa481da5b863062d2b79a5.csv),§ 09.02.003,09.02.003,,draft,,,
disputes_claims_client_matters,,Title 09 — Legal Matters (Title%2009%20%E2%80%94%20Legal%20Matters%2008f297a5e9aa481da5b863062d2b79a5.csv),§ 09.02.004,09.02.004,,draft,,,
disputes_claims_client_matters,,Title 09 — Legal Matters (Title%2009%20%E2%80%94%20Legal%20Matters%2008f297a5e9aa481da5b863062d2b79a5.csv),§ 09.02.005,09.02.005,,draft,,,
publication_registry,,Title 10 — Publication & Works (Title%2010%20%E2%80%94%20Publication%20&%20Works%20529ed5851bc141a0b49af4567cb500ec.csv),§ 10.01.001,10.01.001,,draft,,,
publication_registry,,Title 10 — Publication & Works (Title%2010%20%E2%80%94%20Publication%20&%20Works%20529ed5851bc141a0b49af4567cb500ec.csv),§ 10.01.003,10.01.003,,draft,,,
publication_registry,,Title 10 — Publication & Works (Title%2010%20%E2%80%94%20Publication%20&%20Works%20529ed5851bc141a0b49af4567cb500ec.csv),§ 10.01.002,10.01.002,,draft,,,
publication_registry,,Title 10 — Publication & Works (Title%2010%20%E2%80%94%20Publication%20&%20Works%20529ed5851bc141a0b49af4567cb500ec.csv),§ 10.01.004,10.01.004,,draft,,,
publication_registry,,Title 10 — Publication & Works (Title%2010%20%E2%80%94%20Publication%20&%20Works%20529ed5851bc141a0b49af4567cb500ec.csv),§ 10.01.005,10.01.005,,draft,,,
series_books_posts_pages,,Title 10 — Publication & Works (Title%2010%20%E2%80%94%20Publication%20&%20Works%20529ed5851bc141a0b49af4567cb500ec.csv),§ 10.02.001,10.02.001,,draft,,,
series_books_posts_pages,,Title 10 — Publication & Works (Title%2010%20%E2%80%94%20Publication%20&%20Works%20529ed5851bc141a0b49af4567cb500ec.csv),§ 10.02.002,10.02.002,,draft,,,
series_books_posts_pages,,Title 10 — Publication & Works (Title%2010%20%E2%80%94%20Publication%20&%20Works%20529ed5851bc141a0b49af4567cb500ec.csv),§ 10.02.003,10.02.003,,draft,,,
series_books_posts_pages,,Title 10 — Publication & Works (Title%2010%20%E2%80%94%20Publication%20&%20Works%20529ed5851bc141a0b49af4567cb500ec.csv),§ 10.02.005,10.02.005,,draft,,,
series_books_posts_pages,,Title 10 — Publication & Works (Title%2010%20%E2%80%94%20Publication%20&%20Works%20529ed5851bc141a0b49af4567cb500ec.csv),§ 10.02.004,10.02.004,,draft,,,
archive_deprecated_quarantine,,Title 90 — Archive & Quarantine (Title%2090%20%E2%80%94%20Archive%20&%20Quarantine%200e352121adc94fa89df161a65caaa78b.csv),§ 90.01.001,90.01.001,,draft,,,
archive_deprecated_quarantine,,Title 90 — Archive & Quarantine (Title%2090%20%E2%80%94%20Archive%20&%20Quarantine%200e352121adc94fa89df161a65caaa78b.csv),§ 90.01.002,90.01.002,,draft,,,
archive_deprecated_quarantine,,Title 90 — Archive & Quarantine (Title%2090%20%E2%80%94%20Archive%20&%20Quarantine%200e352121adc94fa89df161a65caaa78b.csv),§ 90.01.003,90.01.003,,draft,,,
archive_deprecated_quarantine,,Title 90 — Archive & Quarantine (Title%2090%20%E2%80%94%20Archive%20&%20Quarantine%200e352121adc94fa89df161a65caaa78b.csv),§ 90.01.004,90.01.004,,draft,,,
archive_deprecated_quarantine,,Title 90 — Archive & Quarantine (Title%2090%20%E2%80%94%20Archive%20&%20Quarantine%200e352121adc94fa89df161a65caaa78b.csv),§ 90.01.005,90.01.005,,draft,,,
prototypes_research_parking_lot,,Title 99 — Experimental (Title%2099%20%E2%80%94%20Experimental%20c34d45c825a84858839b34a445eb359c.csv),§ 99.01.001,99.01.001,,draft,,,
prototypes_research_parking_lot,,Title 99 — Experimental (Title%2099%20%E2%80%94%20Experimental%20c34d45c825a84858839b34a445eb359c.csv),§ 99.01.003,99.01.003,,draft,,,
prototypes_research_parking_lot,,Title 99 — Experimental (Title%2099%20%E2%80%94%20Experimental%20c34d45c825a84858839b34a445eb359c.csv),§ 99.01.002,99.01.002,,draft,,,
prototypes_research_parking_lot,,Title 99 — Experimental (Title%2099%20%E2%80%94%20Experimental%20c34d45c825a84858839b34a445eb359c.csv),§ 99.01.004,99.01.004,,draft,,,
prototypes_research_parking_lot,,Title 99 — Experimental (Title%2099%20%E2%80%94%20Experimental%20c34d45c825a84858839b34a445eb359c.csv),§ 99.01.005,99.01.005,,draft,,,
General,Placed under existing chapter: scope_definitions_numbering.,Title 00 — General Provisions (Title%2000%20%E2%80%94%20General%20Provisions%20fca8e718a53d46afad20fe1b13fb4caf.csv),§ 00.01,,,active,,Chapter,v2.0
CHAPTER — QiAlly Delivery OS,Placed under existing chapter: workflows_sops_routines.,Title 05 — Operations & Workflows (Title%2005%20%E2%80%94%20Operations%20&%20Workflows%205ce5369c643d485caca82fa54f39498e.csv),§ 05.01,,,active,,Chapter,
CHAPTER — QiLife App Spec,Placed under existing chapter: qiapps_projects_integrations.,Title 07 — Security & Access (Title%2007%20%E2%80%94%20Security%20&%20Access%208fbdb5a7433844f48ad0b371ccbee59b.csv),§ 07.02,,,active,,Chapter,
Title 04 — Chronicle & Records,"The spine. Defines timeline, journal, daily logs, incident logs, records, metadata, evidence, audit, import, and export.",,§ 04,04,,draft,,Title,
Title 00 — General Provisions,"Defines the purpose, scope, terms, numbering, citation style, naming rules, and status labels for the entire QiCode.",,§ 00,00,,draft,,Title,
Title 01 — Doctrine & Principles,"States the core philosophy of Qi: why it exists, how it thinks, what it values, and what rules prevent bloat.",,§ 01,01,,draft,,Title,
Title 02 — Governance & Standards,"Defines how decisions are made, how standards/templates are created, how changes happen, and how old decisions get superseded.",,§ 02,02,,draft,,Title,
Title 03 — System Architecture,"Explains the structure of QiLabs, QiSpark, QiServer, QiDrive, QiApps, and the major system layers.",,§ 03,03,,draft,,Title,
Title 05 — Operations & Workflows,"Defines how work happens: workflows, SOPs, routines, checklists, maintenance, incidents, deployment, and rollback.",,§ 05,05,,draft,,Title,
Title 06 — QiLife,"Defines the life operating interface: planner, activities, routines, people, vendors, government, projects, creative work, and research.",,§ 06,06,,draft,,Title,
Title 07 — Security & Access,"Defines accounts, permissions, devices, secrets, recovery codes, security incidents, and credential rotation.",,§ 07,07,,draft,,Title,
Title 08 — Finance & Assets,"Defines money, transactions, receipts, inventory, reimbursements, assets, property, debts, claims, and reports.",,§ 08,08,,draft,,Title,
Title 09 — Legal Matters,"Defines contracts, notices, housing records, disputes, claims, evidence packets, client matters, and case timelines.",,§ 09,09,,draft,,Title,
Title 10 — Publication & Works,"Defines creative/public output: series, books, chapters, essays, posts, public pages, platforms, and canonical versions.",,§ 10,10,,draft,,Title,
Title 90 — Archive & Quarantine,"Defines what happens to old, deprecated, superseded, duplicate, unsafe, or unresolved materials.",,§ 90,90,,draft,,Title,
Title 99 — Experimental,"Holds prototypes, research, future ideas, parking-lot concepts, and promote/kill rules.",,§ 99,99,,draft,,Title,
QiLife Data Model Spine,"Superseded after being broken down and merged into the appropriate existing QiCode chapters: Doctrine, Architecture, Chronicle & Records, and Operations.",,§ 03.05.006,03.05.006,,superseded,"Core, Hubs, Registry/Archive",Standard,Reconciled V1
QiLife App Placement,"Merged QiLife placement in QiOS, app home, docs home, and system boundary roles.",,§ 03.05.006,03.05.006,,active,"Core, Hubs, Registry/Archive",Standard,Reconciled V1
QiLife Purpose & Operating Doctrine,"Merged QiLife purpose, lean spine doctrine, and final operating rule from the former combined data model document.",,§ 01.01.006,01.01.006,,active,"Core, Registry/Archive",Rule,Reconciled V1
QiLife Core V1 Data Model,"Merged database portability doctrine, true V1 tables, and core object map.",,§ 03.05.007,03.05.007,,active,"Core, Hubs, Registry/Archive",Standard,Reconciled V1
QiLife QiBits & Timeline Projection,"Merged timeline projection rules, QiBit schema, QiBit types, statuses, and raw capture rule.",,§ 04.01.010,04.01.010,,active,"Core, Hubs",Record Type,Reconciled V1
"QiLife Buckets, Documents, Knowledge & Links","Merged bucket model, document metadata model, knowledge item model, and polymorphic links doctrine.",,§ 04.02.006,04.02.006,,active,"Core, KB/SOPs, Registry/Archive",Standard,Reconciled V1
QiLife Activity Log & Daily Summaries,"Merged activity log, daily summaries, and reflection separation rules.",,§ 04.03.006,04.03.006,,active,"Core, Registry/Archive",Standard,Reconciled V1
"QiLife Threads, Actions & Build Order","Merged threads, actions, action steps, and QiLife build order.",,§ 05.01.006,05.01.006,,active,"Core, Hubs",Workflow,Reconciled V1
QiLife People & Events,Merged people/contact model and events/calendar-visible model.,,§ 04.02.007,04.02.007,,active,"Core, Hubs",Record Type,Reconciled V1
QiLife AI Outputs & Review Queue,"Merged AI output schema, human-in-the-loop doctrine, approval flow, and no-silent-canonical-change rule.",,§ 05.01.007,05.01.007,,active,"Core, Registry/Archive",Workflow,Reconciled V1
QiLife Deferred Finance Bridge,Merged deferred transactions and obligations doctrine for future QiFinance bridge.,,§ 05.02.006,05.02.006,,active,"Core, Registry/Archive",Reference,Reconciled V1